"text","score"
"Prime Minister @NarendraModi will embark on a 4-day visit to Palestine, UAE and Oman this afternoon. https://t.co/QVqug0HOKY",0
"@Rastogi_chalok @narendramodi You have tagged the wrong NHRC. Please read our bio. On Twitter, @NH_RC is the Navalâ€¦ https://t.co/dy5flPaN1j",-1
"@abhishek449 @narendramodi @nsitharaman @adgpi @MehboobaMufti @DefenceMinIndia You have tagged the wrong NHRC. Pleaâ€¦ https://t.co/FnluxtuB1r",-2
"@sankarchanda99 @narendramodi Pls realize your mistakes!
Indians elected U as PM, not Jaitley!Looks like U hv become Jaitley 's  left hand!",1
"@JoshyXavier @PMOIndia @SafwanINC @narendramodi Yes you are correct",1
"@churumuri @narendramodi Whatâ€™s wrong in PMâ€™s remark? He is too honest! Have you checked what these lacs of job seeâ€¦ https://t.co/wNnEtrtFHe",0
"@timesofindia @narendramodi Even in hurry, Modiji  rightly depicted   the  Reality.",1
"@ShanAggarwal @SJSU @sixers @Google @narendramodi - give 50% back to people who put music or text or voice or videoâ€¦ https://t.co/gCwba7tY0X",0
"Yes India didn't get democracy due to Nehru. Here's a brief glimpse into the glorious ancient democratic traditionsâ€¦ https://t.co/4aLUcFegKH",1
"Mr Modi insulted a woman, he should have to maintain degnity of his post. Every time critisizing others, insulting,â€¦ https://t.co/O4pVHrSNyI",-2
"But how @MVenkaiahNaidu got job of VP? Toothless thobda the qualification? í ½í¸ˆ @narendramodi @OfficeOfRGâ€¦ https://t.co/1WNqkc3oG5",0
"@narendramodi You  hve interactions with World CEOs for last 3 years but no progress . ...talk and talk and talk ..and picts  and move..",1
"@narendramodi @myogiadityanath
@PiyushGoyalOffc @PiyushGoyal   #nolight  at modinagar railway station and Road sideâ€¦ https://t.co/jWFGKwYPrr",0
"@PrakashJavdekar @PIB_India @MIB_India @PIBHindi @PMOIndia @narendramodi @AmitShah @BJP4India @BJP4Maharashtraâ€¦ https://t.co/0cw5Ud2u4j",0
"@narendramodi Whatever mistakes had been done the Congress Now you have been doing the more mistakes",-2
"@mridulnandy1 @narendramodi @OfficeOfRG @BJP4India @AmitShah @BJP4Delhi @KailashOnline @ManojTiwariMP @VijayGoelBJPâ€¦ https://t.co/VTmiJ5eyjO",0
"@narendramodi PM Rocks as always-with Truth- especially Sadar patel if he was PM-too late now-that was the curse onâ€¦ https://t.co/IySUpkXqTv",-1
"@narendramodi @BJP4Tripura Coming to these meeting and earning 200 rs and food is also job, is it correct modiji and amitji",1
"Should raise issue Balochistan must be in the truth and talking with Arabs brutal crimes terrorism based on killingâ€¦ https://t.co/LR3z5GhYeo",-4
"@narendramodi Modiji, Now is the roped time to support Baluch freedom movement, Baluch deserve such support from usâ€¦ https://t.co/hf2XxbTd09",3
"Congrats @BJP4India @narendramodi https://t.co/G5WMd3wC2c",0
"@narendramodi thank you",1
"Very important takeaway for @OfficeOfRG @INCIndia et al from yesterdayâ€™s two speeches in the house is:â€¦ https://t.co/hGKA9ruIPN",1
"@sardesairajdeep True. @narendramodi shouldn't be following serial abusers like @rssurjewala",1
"@narendramodi is it really about racism caste religion which will make this country",-1
"@narendramodi Good morning sir",1
"@BJP4India @ChhabraGeeta @narendramodi Indian public are used to chori, bribery, scams etc and are not willing to wâ€¦ https://t.co/BNzN4fApKN",-1
"@narendramodi Modiji people of Andhra Pradesh are happy with your government at central and state suffering a lot",0
"@narendramodi yesterday my manager wife had bypass surgery in  narayan hrudyala Bangalore we were surprised by doctâ€¦ https://t.co/g7WX0slTNG",0
"@narendramodi @BJP4Tripura May be BJP government must have done some big deal's but common man still waiting for baâ€¦ https://t.co/UChxPcdjzr",0
"@narendramodi @DefenceMinIndia @arunjaitley @PMOIndia @AmitShah Why reply to congress on rafal, they are trying toâ€¦ https://t.co/s2CpC6hhsi",0
"@narendramodi @BJP4Tripura This is common man request , whole day we see congress people creating nonsense"" muddas""â€¦ https://t.co/Gmtr8jXN0S",-1
"@namo_office @narendramodi No one knows what is Ayushman insurance?",0
"@sbasu_in @narendramodi @RenukaChowdhury Exactly. And let's not forget what the nose cutting metaphor really means.â€¦ https://t.co/0dOpeGVjl6",0
"@narendramodi - I get too dramatic when angry. Please donâ€™t impose tariffs against @Toyota pending they change their corporate culture",-2
"@ashk_sunita @INCIndia @narendramodi He has not sense how to speak with indian lady.",0
"Rs 100 crore push for Vadnagar tourist circuit | https://t.co/lP4v7vAtPl #LetsTakGujarat #Tourism

@CMOGujâ€¦ https://t.co/f2eZbO7DQ7",0
"@narendramodi Super",1
"@PMOIndia @narendramodi Pls Pay due respect to women Sir ,PM belongs to whole Nation not to a Particular Party",1
"@narendramodi Modiji, Your Speech in the Parliament is really appreciable, you have shut the mouths those who do nothing but only barks.",1
"@ashk_sunita @narendramodi Reality of BJP
https://t.co/5IVpgqKknl",0
"@smapbob @anil_prongs We AP PPL would have treated BJP at par with Congress as we know both of ditched/deceived APâ€¦ https://t.co/ex6VXSRpKN",0
"@sushmitadevmp @priyankac19 @narendramodi @PMOIndia @INCIndia @MahilaCongress @OfficeOfRG @Sharmistha_GKâ€¦ https://t.co/xwOylza2vX",0
"@narendramodi What about helping Maldives?",1
"@AnupamPKher How do you assure rest of the asshole have also reached? @narendramodi ..@ShashiTharoor  @myogiadityanath",1
"@PMOIndia @narendramodi Sure let's start with why would u pay tripple for #rafeldeal?",0
"officials (govt and JP) said , NO there won't be any land slide .tunnel is built using state of art technology .
Anâ€¦ https://t.co/AgjU8PwYV1",0
"Plastic is banned banned for people why not for political leaders ? #justquestioning @TheNehaTweets @abhisar_sharmaâ€¦ https://t.co/xNV33Upp0Z",0
"@timesofindia @narendramodi Congress had signed the affidavit saying Lord Rama doesnâ€™t exist; why they should botheâ€¦ https://t.co/HbemcA4RBq",0
"@narendramodi luv u sir u r really awesum",0
"@naveen_jp 
Can you imagine what this does to the morale, motivation of our Armed Forces?!í ¼í·®í ¼í·³
@narendramodi @DefenceMinIndia @nsitharaman",0
"It may be possible for India and the Arab countries to cooperate to support the humanitarian issue free Baluchistanâ€¦ https://t.co/wlmI30A7ww",1
"@IndiaToday @narendramodi Does a PM whom ppl gave a clear mandate resort to ""if and buts"" to hide own failure to deâ€¦ https://t.co/PqcRkw4JkV",0
"@BJP4India @narendramodi We are  like karana who acumpaney duryodana",1
"@wordless_man @NadarDeepak @GopinathAyyanna @INCIndia @OfficeOfRG @narendramodi Population of 1947 till date. It isâ€¦ https://t.co/w7a18mkGUB",0
"@vikaskh05172507 @naveen_jp @narendramodi 
#IndiaForMajorAditya í ¼í·®í ¼í·³

People of India vs Nirmala Sithraman?â€¦ https://t.co/rmuBMOkNjy",0
"@vijaita May be @narendramodi was comparing laugh with kaushlya also? Why u r drawing conclusion to ur liking?",1
".@narendramodi Sir, please introduce income tax for farmers earning more than 15 lakh per annum. #India",0
"@PMOIndia @Georgekurian4K @narendramodi By levying 30% income tax then 18-24% GST and then as if this is not all put 4% cess on top.",1
"@RenukaJain6 @narendramodi But wat abt fir on ARMYMAN. Correct it or its a shame on our reverred PM",0
"@republic @SachinPilot ji if youngster like you is blinded by loyalty to Congress and @OfficeOfRG it's your personaâ€¦ https://t.co/QV8Y3fznw0",2
"í ½í¸ @narendramodi to @ncbn 
why did you went on a trip to Dubai? 
   I'm having stomach upset,  and Just to escape theâ€¦ https://t.co/vEWCogBKFO",-1
"@narendramodi Hello Modi sir, when are you coming to NY again. Would love meet and greet you.",1
"@narendramodi @arunjaitley @Swamy39 all the time Rahul is asking national security matter raffle deal detail,we thiâ€¦ https://t.co/dMZbCxWZyD",0
"@madhukishwar @GourabMondalSun @narendramodi The INC- islamic ntnl Criminal Kangress party ,
Is basically a Desh Drâ€¦ https://t.co/nA7cj5UeTm",-1
"@narendramodi @smritiirani Leave Sanctioned!
Enjoy Ur LTCí ½í¸‹í ½í¸‹í ½í¸‹!
FYI!
@rsprasad 
@nsitharaman 
@PrakashJavdekarâ€¦ https://t.co/f6J3hx79xu",0
"@Ram_Jethmalani_ @narendramodi What type of you my friend introduced by R.V.Bhasin and Adish Agrawal Advocate you eâ€¦ https://t.co/Y22v9APvlO",1
"@mrprabhatbajpai @narendramodi @PrakashJavdekar This is a serious issue and will impact the morale of young generatâ€¦ https://t.co/lbpZOshUGZ",-1
"@narendramodi @arunjaitley we need special status.. don't want package any more",0
"@PMOIndia @Georgekurian4K @narendramodi And three of ur party member went to China. 

#dontbeavictim",0
"https://t.co/NWdJISJVzo

Check my latest stuff on @YouTube about Whatsapp 
#JagjitSingh #AutoExpo18â€¦ https://t.co/mCFBUncPzS",0
"@narendramodi You must change your dress code,voice code,and Dr.fix,that ditched Inda unilaterally in retrospect .Câ€¦ https://t.co/xHxhOXw51r",0
"@BillionIndian @narendramodi He seems to have de facto handed over two critical ministries of governance to ""corrupâ€¦ https://t.co/aCDLOt3neE",-1
"@narendramodi @arunjaitley we AP need special status..",0
"@narendramodi This is wrong concept Sir village culture and town culture are different .. village culture adopted wâ€¦ https://t.co/BKULPorb3B",-1
"PM @narendramodi we urge you to speak out in support of women's rights. India must strengthened it's legal mechanisâ€¦ https://t.co/6oWOEnXxBk",1
"@narendramodi you are visiting Muslim countries ? what about the Muslims in Gujrat India ?",0
"@narendramodi Sir save our child (AP) Please fullfil what you said in the tirupati meeting",0
"@narendramodi Positive energy Bheesm ask to Lord Krishna about last rite before heavenly abode? Replied why gave kiâ€¦ https://t.co/R5QP1gxqM9",2
"@ExSecular @anil_prongs @narendramodi @ncbn The way UPA dealed with AP PPL and the way BJP is dealing with AP CM -â€¦ https://t.co/Ex2pelmK3o",0
"@Shanktan @deepak_bansal11 @RajivPratapRudy @narendramodi @AmitShah @dpradhanbjp @smritiirani Even back then she waâ€¦ https://t.co/FfAkk5NbwL",0
"@PMOIndia @Georgekurian4K @narendramodi Don't misuse pmo office to this lengthà¥¤at times I wonder whether you are caâ€¦ https://t.co/TASujET1L7",0
"@narendramodi All the best PM Sir",1
"@narendramodi @HHShkMohd @MohamedBinZayed Pradhan Mantri Ji, India and Gulf and West Asian region  relationship isâ€¦ https://t.co/jS8s3fICoT",0
"@113tiwarivishnu @narendramodi For ur kind information
Pandit Jawaharlal Nehru was our 1st Prime minister please reâ€¦ https://t.co/rPuIJCrlGs",0
"@ARanganathan72 @narendramodi Those in power will always complain about journalists and journalism. It is an inhereâ€¦ https://t.co/HfJXMzkRm4",-1
"@IndiaToday @Supriya23bh India today was once most unbiased and respected media but today it's guided by anti @narendramodi agenda.....pity",1
"@sardesairajdeep Did U Mean!, 
Like @smritiirani Who was Also in Mahabharat Serial?
May B @narendramodi @AmitShah Wâ€¦ https://t.co/bxyDraqZM6",1
"@abpnewstv @narendramodi Good",1
"Much like we realized @narendramodi was one too after the first few months. Pity we have to wait 5 years for it toâ€¦ https://t.co/nduc7Rd0UO",0
"@Scepticindian @narendramodi who??? Cong?
some Cong MPs may win but what is the guarantee Cong will make Govt?
Congâ€¦ https://t.co/qIidfIjxjr",2
"@narendramodi Sir, y arenâ€™t v playing a role to help í ¼í·²í ¼í·»? V can counter í ¼í·¨í ¼í·³ well by making an ally?",1
"@thesuniljain @narendramodi so farmers &amp; traders noe collude yo fleece UG. I am waiting for SGs to do their part inâ€¦ https://t.co/ShHZ3QhhHd",-1
"@narendramodi @PMOIndia Sir,  I am student of Sinhgad college of Engineering, PUNE.  College is on the verge of cloâ€¦ https://t.co/CqnmkPsovo",0
"@ExSecular @anil_prongs What ever it may be - Nation needs @narendramodi but AP needs @ncbn - The way BJP dealing wâ€¦ https://t.co/v9uC1PGj9t",0
"At the same time, it is the responsibility of other regional and major powers as well to ensure that peace, stabiliâ€¦ https://t.co/jfCkWUfaL0",2
"@realDonaldTrump @yogrekha @YogeshS98260707 @CMyogiclub @narendramodi Ankit Saxena slaughtering painful  death hasâ€¦ https://t.co/NFELCqnIx8",-2
"@narendramodi ji never mentioned any character from the serial. We also used to laugh aloud after watching the seriâ€¦ https://t.co/h9wAK8wKN6",0
"@PMOIndia @Georgekurian4K @narendramodi And election 2019 campaign starts. Didn't do anything but travel to almostâ€¦ https://t.co/zKPq2cimYV",0
"@theskindoctor13 @narendramodi Making Papu of Advani Ji by naming him pitamah of Aadhar def is laughable. Then on Mâ€¦ https://t.co/OKh0Nf8UMN",-1
